bin_12	{'Translation table': 11, 'GC std': 0.010047192448398369, '# ambiguous bases': 0, 'Genome size': 256895, 'Longest contig': 4623, 'N50 (scaffolds)': 3044, 'Mean scaffold length': 3095.120481927711, '# contigs': 83, '# scaffolds': 83, '# predicted genes': 256, 'Longest scaffold': 4623, 'GC': 0.5571887346970552, 'N50 (contigs)': 3044, 'Coding density': 0.8845598396231924, 'Mean contig length': 3095.120481927711}
bin_11	{'Translation table': 11, 'GC std': 0.03036249856430299, '# ambiguous bases': 0, 'Genome size': 1491559, 'Longest contig': 10475, 'N50 (scaffolds)': 3631, 'Mean scaffold length': 3747.6356783919596, '# contigs': 398, '# scaffolds': 398, '# predicted genes': 1689, 'Longest scaffold': 10475, 'GC': 0.47448810271668773, 'N50 (contigs)': 3631, 'Coding density': 0.9113477911366563, 'Mean contig length': 3747.6356783919596}
bin_1	{'Translation table': 11, 'GC std': 0.021787081997835498, '# ambiguous bases': 0, 'Genome size': 1859913, 'Longest contig': 61561, 'N50 (scaffolds)': 4026, 'Mean scaffold length': 4179.5797752808985, '# contigs': 445, '# scaffolds': 445, '# predicted genes': 1969, 'Longest scaffold': 61561, 'GC': 0.44406969573307997, 'N50 (contigs)': 4026, 'Coding density': 0.9486911484569439, 'Mean contig length': 4179.5797752808985}
bin_10	{'Translation table': 11, 'GC std': 0.01576765268865689, '# ambiguous bases': 0, 'Genome size': 2057816, 'Longest contig': 39783, 'N50 (scaffolds)': 7656, 'Mean scaffold length': 6312.319018404908, '# contigs': 326, '# scaffolds': 326, '# predicted genes': 2182, 'Longest scaffold': 39783, 'GC': 0.6140374066486022, 'N50 (contigs)': 7656, 'Coding density': 0.9146303653971006, 'Mean contig length': 6312.319018404908}
bin_13	{'Translation table': 11, 'GC std': 0.02039887654977025, '# ambiguous bases': 0, 'Genome size': 2467401, 'Longest contig': 256554, 'N50 (scaffolds)': 81492, 'Mean scaffold length': 45692.61111111111, '# contigs': 54, '# scaffolds': 54, '# predicted genes': 2445, 'Longest scaffold': 256554, 'GC': 0.6067035718960964, 'N50 (contigs)': 81492, 'Coding density': 0.9042778210756987, 'Mean contig length': 45692.61111111111}
bin_14	{'Translation table': 11, 'GC std': 0.01828969935189407, '# ambiguous bases': 0, 'Genome size': 1151704, 'Longest contig': 11700, 'N50 (scaffolds)': 4544, 'Mean scaffold length': 4446.733590733591, '# contigs': 259, '# scaffolds': 259, '# predicted genes': 1388, 'Longest scaffold': 11700, 'GC': 0.7139117342650542, 'N50 (contigs)': 4544, 'Coding density': 0.9375542674159333, 'Mean contig length': 4446.733590733591}
bin_16	{'Translation table': 11, 'GC std': 0.013698244860220416, '# ambiguous bases': 0, 'Genome size': 917265, 'Longest contig': 9438, 'N50 (scaffolds)': 3374, 'Mean scaffold length': 3514.425287356322, '# contigs': 261, '# scaffolds': 261, '# predicted genes': 921, 'Longest scaffold': 9438, 'GC': 0.5165650057507918, 'N50 (contigs)': 3374, 'Coding density': 0.9208211367489221, 'Mean contig length': 3514.425287356322}
bin_17	{'Translation table': 11, 'GC std': 0.01964835743079407, '# ambiguous bases': 0, 'Genome size': 554606, 'Longest contig': 13663, 'N50 (scaffolds)': 3883, 'Mean scaffold length': 3905.676056338028, '# contigs': 142, '# scaffolds': 142, '# predicted genes': 743, 'Longest scaffold': 13663, 'GC': 0.6184011712819552, 'N50 (contigs)': 3883, 'Coding density': 0.9336934688770046, 'Mean contig length': 3905.676056338028}
bin_15	{'Translation table': 11, 'GC std': 0.014859645752471857, '# ambiguous bases': 0, 'Genome size': 2025571, 'Longest contig': 36265, 'N50 (scaffolds)': 6694, 'Mean scaffold length': 5992.8136094674555, '# contigs': 338, '# scaffolds': 338, '# predicted genes': 2003, 'Longest scaffold': 36265, 'GC': 0.4886034604563355, 'N50 (contigs)': 6694, 'Coding density': 0.9271168475457044, 'Mean contig length': 5992.8136094674555}
bin_2	{'Translation table': 11, 'GC std': 0.016827832935629627, '# ambiguous bases': 0, 'Genome size': 403782, 'Longest contig': 11030, 'N50 (scaffolds)': 3515, 'Mean scaffold length': 3605.1964285714284, '# contigs': 112, '# scaffolds': 112, '# predicted genes': 415, 'Longest scaffold': 11030, 'GC': 0.6294559935806945, 'N50 (contigs)': 3515, 'Coding density': 0.9526774348534606, 'Mean contig length': 3605.1964285714284}
